ID	Gene Symbol
1484_at	CDH8
1485_at	EPHA7
1486_at	POLR2J
1487_at	ESRRA
1488_at	PTPRK
1489_s_at	MYCL
149_at	DDX39A
1490_at	MYCL
1491_at	PTX3
1492_f_at	CYP2A7
1493_r_at	CYP2A6
1494_f_at	CYP2A6
1495_at	LTBP1
1496_at	PTPRA
1497_at	LTBR
1498_at	ZAP70
1499_at	FNTA
150_at	MAGI1
1500_at	WT1
1501_at	IGF1
1503_at	BRCA2
1504_s_at	FGF12
1505_at	TYMS
1506_at	IL2RG
1507_s_at	EDNRA
1508_at	ITGA9
1509_at	MMP16
151_s_at	TUBB
1510_g_at	MMP16
1511_at	SHC3
1512_at	DYRK1A
1513_at	KLK3
1514_g_at	KLK3
1515_at	FEN1
1516_g_at	FEN1
1517_at	CYP2F1
1518_at	ETS1
1519_at	ETS2
152_f_at	HIST1H4A /// HIST1H4B /// HIST1H4C /// HIST1H4D /// HIST1H4E /// HIST1H4F /// HIST1H4H /// HIST1H4I /// HIST1H4J /// HIST1H4K /// HIST1H4L /// HIST2H4A /// HIST2H4B /// HIST4H4
1520_s_at	IL1B
1521_at	NME1
1522_at	TNK1
1523_g_at	TNK1
1524_at	MOK
1525_s_at	FGF8
1526_i_at	FGF8
1527_s_at	N4BP2L1
1528_at	N4BP2L2-IT2
1529_at	FRY
153_f_at	HIST1H2BJ
1530_g_at	FRY
1531_at	N4BP2L2
1532_g_at	N4BP2L2 /// U50535
1533_at	RAD50
1534_at	IL12RB2
1535_at	FOXN3
1536_at	CDC6
1537_at	EGFR
1538_s_at	IL2
1539_at	NRAS
154_at	TAF1
1540_f_at	IFNA5
1541_f_at	IFNA5 /// IFNA6
1542_at	EGF
1543_at	MAP2K6
1544_at	BLM
1545_g_at	FLT1
1546_at	HYAL1
1547_at	JAK3
1548_s_at	IL10
1549_s_at	SERPINB3 /// SERPINB4
155_s_at	SUMO1
1550_at	MRPL28
1551_g_at	MRPL28
1552_i_at	CYP2A13
1553_r_at	CYP2A13
1554_f_at	CYP2A13
1555_f_at	CYP2A6 /// CYP2A7
1556_at	RBM5
1557_at	PAK1
1558_g_at	PAK1
1559_at	PAK2
156_s_at	GPR19
1560_g_at	PAK2
1561_at	DUSP8 /// LOC101927562
1562_g_at	DUSP8 /// LOC101927562
1563_s_at	TNFRSF1A
1564_at	AKT1
1565_s_at	GRB2
1566_at	NCAM1
1567_at	FLT1
1568_s_at	IFNAR2
1569_r_at	IL10RB
157_at	PRAME
1570_f_at	RB1
1571_f_at	RB1
1572_s_at	INSR
1573_at	PDGFB
1574_s_at	IL4
1575_at	ABCB1
1576_g_at	ABCB1 /// ABCB4
1577_at	AR
1578_g_at	AR
1579_at	OSM
158_at	DNAJB4
1580_f_at	IFNA4
1581_s_at	TOP2B
1582_at	CEACAM5
1583_at	TNFRSF1B
1584_at	CDC25C
1585_at	ERBB3
1586_at	IGFBP3
1587_at	RARG
1588_at	IFNAR2
1589_s_at	IFNAR2
159_at	VEGFC
1590_s_at	HRAS
1591_s_at	IGF2 /// INS-IGF2
1592_at	TOP2A
1593_at	FGF2
1594_at	POLR2C
1595_at	TEK
1596_g_at	TEK
1597_at	GAS6
1598_g_at	GAS6
1599_at	CDKN3
160_at	STAM
1600_at	TXK
160020_at	MMP14
160021_r_at	PGR
160022_at	CSF1R
160023_at	WNT2
160024_at	CDK10
160025_at	TGFA
160026_at	PRKX
160027_s_at	IGF2R
160028_s_at	RET
160029_at	PRKCB
160030_at	GHR
160031_at	CDH3
160032_at	IL6R
160033_s_at	XRCC1
160034_s_at	FANCC
160035_at	CEACAM7
160036_at	ESRRB
160037_at	MMP15
160038_s_at	INS
160039_at	MAPK4
160040_at	EDN3
160041_at	PTPN18
160042_s_at	HOXB6
160043_at	MYBL1
160044_g_at	ACO2
1601_s_at	IGFBP5
1602_at	PRKCI
1603_g_at	PRKCI
